The Data Nerd,@OnchainDataNerd
Tweet Range : 2024-04-21:2030-01-01
Save Path : C:\Users\86158\Desktop\学习内容\twitter_scrapy_for_text-main\OnchainDataNerd\
Tweet Date,Tweet URL,Tweet Content,Favorite Count,Retweet Count,Reply Count
2024-06-16 09:21,https://twitter.com/OnchainDataNerd/status/1802270333967511598,"1 hour ago, a whale 0xd64 just withdrew 3.9M $CRV (~$1.24M) from #Binance.

Right after that, he staked 3M $CRV (~$954k) into #Convex_Finance.

He also hodls 1.94M $SNX (~$4.25M) with unrealized profit ~$1.75M

Address:
",36,9,2
2024-06-15 04:46,https://twitter.com/OnchainDataNerd/status/1801838579959874050,"18 hours ago, a whale 0xf22 deposited 357.2B $PEPE (~$4.13M) to #Binance

Those tokens were accumulated at avg entry $0.00001342 last week
If sold all at current price, he will have a loss ~$660k.

Just now, he still hodls 190.75B $PEPE ~ $2.24M

Address:
",19,2,3
2024-06-15 02:49,https://twitter.com/OnchainDataNerd/status/1801809256720830844,"Couple of hours ago, @GSR_io deposited 1.4M $ARB (~$1.28M) to #Binance.

On the other hand, they withdrew 4M $PIRATE (~$1.47M) from #Bybit &amp; it's the 1st time they accumulated $PIRATE.

Address:
",21,3,4
2024-06-14 08:54,https://twitter.com/OnchainDataNerd/status/1801538575374422253,"20 days ago, a wallet 3Pczg (maybe dev team of $BEER) spent $191k to accumulate 6.8B $BEER (on Solana).

With 7.64B $BEER received from dev's wallet, he currently hodls 14.44B $BEER ~ $4.38M.

Address:
",9,2,5
2024-06-14 05:14,https://twitter.com/OnchainDataNerd/status/1801483216467202548,"14 hours ago, a whale (maybe @eToro) just withdrew 1.5M $ONDO (~$1.93M) and 120M $JASMY (~$4.31M) from #Coinbase.

Just now, they have 3.8M $ONDO (~$5M) and here are their 3 largest assets: $ETH (~$42M); FET (~$35.83M) &amp; $SHIB (~$21.68M).

Address:
",68,11,3
2024-06-14 03:11,https://twitter.com/OnchainDataNerd/status/1801452445090070763,"10 hours ago, a wallet 0x3889 (maybe @FlowTraders) just deposited 23.9M $ATH (~$1.82M) to #OKX.

2 days ago, they received 29.4M $ATH from @AethirCloud and then deposited 5M tokens to #Kucoin.

Address:
",10,2,1
2024-06-13 09:01,https://twitter.com/OnchainDataNerd/status/1801178151080587666,"5 minutes ago, a whale 0xaB7 just deposited his last 46M $ATH (~$4.44M) to #OKX.

2 days ago, he received 168M $ATH from @AethirCloud and then deposited  to multiple exchanges: #OKX, #Gate, #Kucoin, #Bybit, #Bitfinex.

His address:
",21,3,6
2024-06-13 07:32,https://twitter.com/OnchainDataNerd/status/1801155645816836412,"2 hours ago, a whale 0x8A4 withdrew some tokens worth $10.87M from #Binance and #OKX including:

✅1,531 $ETH (~$5.3M);
✅603k $CAKE (~$1.52M);
✅94B $SHIB (~$2M);
✅70,680 $UNI ($699k);
✅581k $CRV (~$154k).

Address:
",21,1,6
2024-06-13 03:18,https://twitter.com/OnchainDataNerd/status/1801091797588021374,"Something with $CRV???

10 minutes ago, a whale just deposited 10.926M $CRV (~$2.7M) to #Binance.

Within 1 hour, he totally deposited 24.2M $CRV (~$6.936M) to #Binance.

Address:
",29,3,2
2024-06-12 08:48,https://twitter.com/OnchainDataNerd/status/1800812442785812592,"An hour ago, a wallet 0xb31 (maybe Investor of @coin98_wallet) just vested 3M $C98 (~$677k) and then deposited all of them into #Binance.

Within 5 months, this wallet totally received 12M $C98 (~$3.54M) and deposited immediately after receiving.

Address:
",19,2,6
